icd10_id,icd10_lbl,mondo/hbo
Q158,Other specified congenital malformations of eye,"['http://purl.obolibrary.org/obo/HP_0009004', 'http://purl.obolibrary.org/obo/HP_0100687', 'http://purl.obolibrary.org/obo/MONDO_0009576', 'http://purl.obolibrary.org/obo/HP_0000485', 'http://purl.obolibrary.org/obo/MONDO_0009577', 'http://purl.obolibrary.org/obo/MONDO_0013678', 'http://purl.obolibrary.org/obo/MONDO_0015230', 'http://purl.obolibrary.org/obo/HP_0030867', 'http://purl.obolibrary.org/obo/MONDO_0007202', 'http://purl.obolibrary.org/obo/HP_0030024', 'http://purl.obolibrary.org/obo/MONDO_0010691', 'http://purl.obolibrary.org/obo/MONDO_0010649', 'http://purl.obolibrary.org/obo/MONDO_0017579', 'http://purl.obolibrary.org/obo/MONDO_0017318', 'http://purl.obolibrary.org/obo/HP_0000568', 'http://purl.obolibrary.org/obo/MONDO_0016850', 'http://purl.obolibrary.org/obo/HP_0000485', 'http://purl.obolibrary.org/obo/MONDO_0011604', 'http://purl.obolibrary.org/obo/MONDO_0015997', 'http://purl.obolibrary.org/obo/MONDO_0800167', 'http://purl.obolibrary.org/obo/HP_0002558', 'http://purl.obolibrary.org/obo/MONDO_0007614', 'http://purl.obolibrary.org/obo/HP_0001491', 'http://purl.obolibrary.org/obo/MONDO_0010671']"
Q159,"Congenital malformation of eye, unspecified","['http://purl.obolibrary.org/obo/HP_0008659', 'http://purl.obolibrary.org/obo/MONDO_0044751', 'http://purl.obolibrary.org/obo/HP_0002028', 'http://purl.obolibrary.org/obo/MONDO_0011812', 'http://purl.obolibrary.org/obo/MONDO_0016643', 'http://purl.obolibrary.org/obo/MONDO_0018772', 'http://purl.obolibrary.org/obo/HP_0002335', 'http://purl.obolibrary.org/obo/HP_0000478', 'http://purl.obolibrary.org/obo/MONDO_0009480', 'http://purl.obolibrary.org/obo/MONDO_0007836', 'http://purl.obolibrary.org/obo/MONDO_0012184', 'http://purl.obolibrary.org/obo/MONDO_0010879', 'http://purl.obolibrary.org/obo/MONDO_0012155', 'http://purl.obolibrary.org/obo/HP_0000453', 'http://purl.obolibrary.org/obo/MONDO_0009769', 'http://purl.obolibrary.org/obo/MONDO_0044001', 'http://purl.obolibrary.org/obo/HP_0000410', 'http://purl.obolibrary.org/obo/HP_0008513', 'http://purl.obolibrary.org/obo/MONDO_0019631', 'http://purl.obolibrary.org/obo/HP_0007968', 'http://purl.obolibrary.org/obo/MONDO_0008008', 'http://purl.obolibrary.org/obo/HP_0007968', 'http://purl.obolibrary.org/obo/HP_0008070', 'http://purl.obolibrary.org/obo/MONDO_0008800', 'http://purl.obolibrary.org/obo/HP_0008619', 'http://purl.obolibrary.org/obo/HP_0002335', 'http://purl.obolibrary.org/obo/MONDO_0004183', 'http://purl.obolibrary.org/obo/HP_0003477', 'http://purl.obolibrary.org/obo/MONDO_0008115', 'http://purl.obolibrary.org/obo/MONDO_0020464', 'http://purl.obolibrary.org/obo/HP_0012905', 'http://purl.obolibrary.org/obo/MONDO_0044765', 'http://purl.obolibrary.org/obo/HP_0012588', 'http://purl.obolibrary.org/obo/MONDO_0011010', 'http://purl.obolibrary.org/obo/MONDO_0009150', 'http://purl.obolibrary.org/obo/MONDO_0002350', 'http://purl.obolibrary.org/obo/HP_0008677', 'http://purl.obolibrary.org/obo/MONDO_0009560', 'http://purl.obolibrary.org/obo/MONDO_0008108']"
Q160,Congenital absence of (ear) auricle,"['http://purl.obolibrary.org/obo/HP_0000402', 'http://purl.obolibrary.org/obo/MONDO_0019780', 'http://purl.obolibrary.org/obo/HP_0009892']"
Q161,"Congenital absence, atresia and stricture of auditory canal (external)","['http://purl.obolibrary.org/obo/MONDO_0008850', 'http://purl.obolibrary.org/obo/MONDO_0019780', 'http://purl.obolibrary.org/obo/HP_0009892', 'http://purl.obolibrary.org/obo/HP_0000402', 'http://purl.obolibrary.org/obo/MONDO_0008652', 'http://purl.obolibrary.org/obo/HP_0001838', 'http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316']"
Q162,Absence of eustachian tube,"['http://purl.obolibrary.org/obo/HP_0040115', 'http://purl.obolibrary.org/obo/HP_0040116']"
Q163,Congenital malformation of ear ossicles,"['http://purl.obolibrary.org/obo/HP_0000674', 'http://purl.obolibrary.org/obo/HP_0011455', 'http://purl.obolibrary.org/obo/MONDO_0005486', 'http://purl.obolibrary.org/obo/HP_0000668', 'http://purl.obolibrary.org/obo/MONDO_0008484']"
Q164,Other congenital malformations of middle ear,['http://purl.obolibrary.org/obo/HP_0040115']
Q165,Congenital malformation of inner ear,"['http://purl.obolibrary.org/obo/HP_0011372', 'http://purl.obolibrary.org/obo/MONDO_0012541', 'http://purl.obolibrary.org/obo/HP_0000365', 'http://purl.obolibrary.org/obo/MONDO_0010920', 'http://purl.obolibrary.org/obo/HP_0008551', 'http://purl.obolibrary.org/obo/HP_0000691']"
Q169,"Congenital malformation of ear causing impairment of hearing, unspecified","['http://purl.obolibrary.org/obo/MONDO_0012209', 'http://purl.obolibrary.org/obo/MONDO_0016297', 'http://purl.obolibrary.org/obo/MONDO_0016298']"
Q170,Accessory auricle,"['http://purl.obolibrary.org/obo/HP_0100687', 'http://purl.obolibrary.org/obo/HP_0030024', 'http://purl.obolibrary.org/obo/HP_0002079', 'http://purl.obolibrary.org/obo/HP_0002558', 'http://purl.obolibrary.org/obo/MONDO_0015458']"
Q171,Macrotia,"['http://purl.obolibrary.org/obo/HP_0000400', 'http://purl.obolibrary.org/obo/MONDO_0008402']"
Q172,Microtia,"['http://purl.obolibrary.org/obo/MONDO_0010920', 'http://purl.obolibrary.org/obo/HP_0008551', 'http://purl.obolibrary.org/obo/HP_0000691', 'http://purl.obolibrary.org/obo/MONDO_0009143', 'http://purl.obolibrary.org/obo/MONDO_0012541', 'http://purl.obolibrary.org/obo/MONDO_0009404', 'http://purl.obolibrary.org/obo/MONDO_0007409', 'http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/HP_0000365', 'http://purl.obolibrary.org/obo/HP_0000564', 'http://purl.obolibrary.org/obo/HP_0002304']"
Q173,Other misshapen ear,"['http://purl.obolibrary.org/obo/HP_0011252', 'http://purl.obolibrary.org/obo/HP_0100015']"
Q174,Misplaced ear,"['http://purl.obolibrary.org/obo/HP_0000358', 'http://purl.obolibrary.org/obo/HP_0000369']"
Q175,Prominent ear,"['http://purl.obolibrary.org/obo/HP_0000394', 'http://purl.obolibrary.org/obo/HP_0000411']"
Q178,Other specified congenital malformations of ear,"['http://purl.obolibrary.org/obo/MONDO_0019780', 'http://purl.obolibrary.org/obo/HP_0009892', 'http://purl.obolibrary.org/obo/HP_0040115', 'http://purl.obolibrary.org/obo/HP_0000750', 'http://purl.obolibrary.org/obo/MONDO_0009798', 'http://purl.obolibrary.org/obo/HP_0000347', 'http://purl.obolibrary.org/obo/MONDO_0010920', 'http://purl.obolibrary.org/obo/HP_0008551', 'http://purl.obolibrary.org/obo/HP_0040118', 'http://purl.obolibrary.org/obo/MONDO_0007504', 'http://purl.obolibrary.org/obo/HP_0100663', 'http://purl.obolibrary.org/obo/HP_0011252', 'http://purl.obolibrary.org/obo/HP_0000377', 'http://purl.obolibrary.org/obo/MONDO_0008445']"
Q179,"Congenital malformation of ear, unspecified","['http://purl.obolibrary.org/obo/MONDO_0016643', 'http://purl.obolibrary.org/obo/MONDO_0007421', 'http://purl.obolibrary.org/obo/MONDO_0007500', 'http://purl.obolibrary.org/obo/HP_0000598', 'http://purl.obolibrary.org/obo/HP_0100783', 'http://purl.obolibrary.org/obo/MONDO_0010221', 'http://purl.obolibrary.org/obo/MONDO_0008404', 'http://purl.obolibrary.org/obo/MONDO_0009795', 'http://purl.obolibrary.org/obo/HP_0000160', 'http://purl.obolibrary.org/obo/MONDO_0015375', 'http://purl.obolibrary.org/obo/MONDO_0008137', 'http://purl.obolibrary.org/obo/MONDO_0019414', 'http://purl.obolibrary.org/obo/MONDO_0009859', 'http://purl.obolibrary.org/obo/MONDO_0010879', 'http://purl.obolibrary.org/obo/MONDO_0007238', 'http://purl.obolibrary.org/obo/MONDO_0009822', 'http://purl.obolibrary.org/obo/MONDO_0021651']"
Q180,"Sinus, fistula and cyst of branchial cleft","['http://purl.obolibrary.org/obo/MONDO_0015378', 'http://purl.obolibrary.org/obo/HP_0100272', 'http://purl.obolibrary.org/obo/MONDO_0015377', 'http://purl.obolibrary.org/obo/HP_0009795', 'http://purl.obolibrary.org/obo/HP_0009796', 'http://purl.obolibrary.org/obo/MONDO_0015376', 'http://purl.obolibrary.org/obo/MONDO_0007233']"
Q181,Preauricular sinus and cyst,"['http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/HP_0004467', 'http://purl.obolibrary.org/obo/HP_0009795', 'http://purl.obolibrary.org/obo/HP_0004467', 'http://purl.obolibrary.org/obo/HP_0004467']"
Q182,Other branchial cleft malformations,"['http://purl.obolibrary.org/obo/HP_0009796', 'http://purl.obolibrary.org/obo/MONDO_0015419', 'http://purl.obolibrary.org/obo/MONDO_0008740']"
Q183,Webbing of neck,"['http://purl.obolibrary.org/obo/HP_0000465', 'http://purl.obolibrary.org/obo/HP_0002557', 'http://purl.obolibrary.org/obo/HP_0003187', 'http://purl.obolibrary.org/obo/MONDO_0017315', 'http://purl.obolibrary.org/obo/MONDO_0010835']"
Q184,Macrostomia,"['http://purl.obolibrary.org/obo/MONDO_0013300', 'http://purl.obolibrary.org/obo/HP_0000154', 'http://purl.obolibrary.org/obo/HP_0011224', 'http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/MONDO_0008693']"
Q185,Microstomia,['http://purl.obolibrary.org/obo/HP_0000160']
Q187,Microcheilia,['http://purl.obolibrary.org/obo/HP_0000160']
Q188,Other specified congenital malformations of face and neck,"['http://purl.obolibrary.org/obo/MONDO_0008165', 'http://purl.obolibrary.org/obo/HP_0004445', 'http://purl.obolibrary.org/obo/HP_0009939', 'http://purl.obolibrary.org/obo/MONDO_0007235', 'http://purl.obolibrary.org/obo/MONDO_0014609', 'http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/MONDO_0015411', 'http://purl.obolibrary.org/obo/HP_0002006', 'http://purl.obolibrary.org/obo/MONDO_0014382', 'http://purl.obolibrary.org/obo/MONDO_0010920', 'http://purl.obolibrary.org/obo/HP_0008551', 'http://purl.obolibrary.org/obo/MONDO_0007711', 'http://purl.obolibrary.org/obo/HP_0010730', 'http://purl.obolibrary.org/obo/MONDO_0015379', 'http://purl.obolibrary.org/obo/MONDO_0015672', 'http://purl.obolibrary.org/obo/MONDO_0009507', 'http://purl.obolibrary.org/obo/MONDO_0015380', 'http://purl.obolibrary.org/obo/MONDO_0010039', 'http://purl.obolibrary.org/obo/MONDO_0011723', 'http://purl.obolibrary.org/obo/HP_0005323', 'http://purl.obolibrary.org/obo/HP_0002223', 'http://purl.obolibrary.org/obo/HP_0000664', 'http://purl.obolibrary.org/obo/MONDO_0007846', 'http://purl.obolibrary.org/obo/MONDO_0009404', 'http://purl.obolibrary.org/obo/MONDO_0015397', 'http://purl.obolibrary.org/obo/MONDO_0010263']"
Q189,"Congenital malformation of face and neck, unspecified","['http://purl.obolibrary.org/obo/HP_0000169', 'http://purl.obolibrary.org/obo/HP_0001999', 'http://purl.obolibrary.org/obo/MONDO_0017951', 'http://purl.obolibrary.org/obo/MONDO_0009740', 'http://purl.obolibrary.org/obo/HP_0000464', 'http://purl.obolibrary.org/obo/MONDO_0015375', 'http://purl.obolibrary.org/obo/MONDO_0016070', 'http://purl.obolibrary.org/obo/HP_0000169', 'http://purl.obolibrary.org/obo/MONDO_0017356', 'http://purl.obolibrary.org/obo/MONDO_0009205', 'http://purl.obolibrary.org/obo/MONDO_0008490', 'http://purl.obolibrary.org/obo/HP_0001999', 'http://purl.obolibrary.org/obo/MONDO_0009795', 'http://purl.obolibrary.org/obo/HP_0002750', 'http://purl.obolibrary.org/obo/MONDO_0008975', 'http://purl.obolibrary.org/obo/MONDO_0007428', 'http://purl.obolibrary.org/obo/MONDO_0011899', 'http://purl.obolibrary.org/obo/MONDO_0003233', 'http://purl.obolibrary.org/obo/HP_0030186', 'http://purl.obolibrary.org/obo/HP_0001999', 'http://purl.obolibrary.org/obo/MONDO_0011402', 'http://purl.obolibrary.org/obo/MONDO_0010908', 'http://purl.obolibrary.org/obo/HP_0000085', 'http://purl.obolibrary.org/obo/MONDO_0017316']"
Q200,Common arterial trunk,"['http://purl.obolibrary.org/obo/MONDO_0020007', 'http://purl.obolibrary.org/obo/HP_0004960', 'http://purl.obolibrary.org/obo/MONDO_0016581', 'http://purl.obolibrary.org/obo/HP_0011611']"
Q201,Double outlet right ventricle,"['http://purl.obolibrary.org/obo/HP_0001719', 'http://purl.obolibrary.org/obo/HP_0011651', 'http://purl.obolibrary.org/obo/MONDO_0020387', 'http://purl.obolibrary.org/obo/MONDO_0020386']"
Q202,Double outlet left ventricle,"['http://purl.obolibrary.org/obo/MONDO_0018090', 'http://purl.obolibrary.org/obo/HP_0011581']"
Q203,Discordant ventriculoarterial connection,"['http://purl.obolibrary.org/obo/HP_0001669', 'http://purl.obolibrary.org/obo/MONDO_0018089', 'http://purl.obolibrary.org/obo/HP_0001669', 'http://purl.obolibrary.org/obo/MONDO_0020417', 'http://purl.obolibrary.org/obo/HP_0012020', 'http://purl.obolibrary.org/obo/MONDO_0016301', 'http://purl.obolibrary.org/obo/HP_0011540']"
Q204,Double inlet ventricle,"['http://purl.obolibrary.org/obo/MONDO_0017866', 'http://purl.obolibrary.org/obo/MONDO_0002078', 'http://purl.obolibrary.org/obo/HP_0001671', 'http://purl.obolibrary.org/obo/HP_0001750', 'http://purl.obolibrary.org/obo/HP_0011556', 'http://purl.obolibrary.org/obo/MONDO_0015451', 'http://purl.obolibrary.org/obo/HP_0011555']"
Q205,Discordant atrioventricular connection,"['http://purl.obolibrary.org/obo/HP_0011552', 'http://purl.obolibrary.org/obo/HP_0001669', 'http://purl.obolibrary.org/obo/MONDO_0016301', 'http://purl.obolibrary.org/obo/HP_0011540', 'http://purl.obolibrary.org/obo/HP_0010316', 'http://purl.obolibrary.org/obo/HP_0011546', 'http://purl.obolibrary.org/obo/HP_0011553']"
Q206,Isomerism of atrial appendages,"['http://purl.obolibrary.org/obo/MONDO_0010029', 'http://purl.obolibrary.org/obo/HP_0030853']"
Q208,Other congenital malformations of cardiac chambers and connections,"['http://purl.obolibrary.org/obo/HP_0011103', 'http://purl.obolibrary.org/obo/HP_0011547', 'http://purl.obolibrary.org/obo/MONDO_0022859', 'http://purl.obolibrary.org/obo/HP_0011621', 'http://purl.obolibrary.org/obo/HP_0011548', 'http://purl.obolibrary.org/obo/HP_0001669', 'http://purl.obolibrary.org/obo/MONDO_0011514', 'http://purl.obolibrary.org/obo/HP_0011662', 'http://purl.obolibrary.org/obo/MONDO_0002078', 'http://purl.obolibrary.org/obo/HP_0001671', 'http://purl.obolibrary.org/obo/MONDO_0015666', 'http://purl.obolibrary.org/obo/HP_0001707', 'http://purl.obolibrary.org/obo/HP_0011539', 'http://purl.obolibrary.org/obo/MONDO_0015249', 'http://purl.obolibrary.org/obo/HP_0011560', 'http://purl.obolibrary.org/obo/HP_0010316', 'http://purl.obolibrary.org/obo/HP_0011535', 'http://purl.obolibrary.org/obo/HP_0011565', 'http://purl.obolibrary.org/obo/MONDO_0010179', 'http://purl.obolibrary.org/obo/HP_0001711']"
Q210,Ventricular septal defect,"['http://purl.obolibrary.org/obo/HP_0011682', 'http://purl.obolibrary.org/obo/MONDO_0800107', 'http://purl.obolibrary.org/obo/HP_0011681', 'http://purl.obolibrary.org/obo/HP_0001719', 'http://purl.obolibrary.org/obo/HP_0011623', 'http://purl.obolibrary.org/obo/HP_0011621', 'http://purl.obolibrary.org/obo/HP_0001669', 'http://purl.obolibrary.org/obo/HP_0010882', 'http://purl.obolibrary.org/obo/MONDO_0020387', 'http://purl.obolibrary.org/obo/HP_0011684', 'http://purl.obolibrary.org/obo/HP_0001629', 'http://purl.obolibrary.org/obo/MONDO_0008343', 'http://purl.obolibrary.org/obo/MONDO_0002070', 'http://purl.obolibrary.org/obo/HP_0001629', 'http://purl.obolibrary.org/obo/MONDO_0020386', 'http://purl.obolibrary.org/obo/MONDO_0020064', 'http://purl.obolibrary.org/obo/HP_0005134', 'http://purl.obolibrary.org/obo/HP_0011683', 'http://purl.obolibrary.org/obo/HP_0011547', 'http://purl.obolibrary.org/obo/MONDO_0017866', 'http://purl.obolibrary.org/obo/MONDO_0020290', 'http://purl.obolibrary.org/obo/HP_0006695', 'http://purl.obolibrary.org/obo/MONDO_0020427', 'http://purl.obolibrary.org/obo/HP_0011651', 'http://purl.obolibrary.org/obo/MONDO_0020428']"
Q211,Atrial septal defect,"['http://purl.obolibrary.org/obo/MONDO_0020438', 'http://purl.obolibrary.org/obo/HP_0011995', 'http://purl.obolibrary.org/obo/MONDO_0020436', 'http://purl.obolibrary.org/obo/HP_0011567', 'http://purl.obolibrary.org/obo/HP_0001631', 'http://purl.obolibrary.org/obo/HP_0010316', 'http://purl.obolibrary.org/obo/MONDO_0006839', 'http://purl.obolibrary.org/obo/HP_0011565', 'http://purl.obolibrary.org/obo/HP_0001631', 'http://purl.obolibrary.org/obo/MONDO_0020290', 'http://purl.obolibrary.org/obo/HP_0006695', 'http://purl.obolibrary.org/obo/MONDO_0020437', 'http://purl.obolibrary.org/obo/HP_0001655', 'http://purl.obolibrary.org/obo/HP_0001684', 'http://purl.obolibrary.org/obo/MONDO_0006664', 'http://purl.obolibrary.org/obo/HP_0001631', 'http://purl.obolibrary.org/obo/MONDO_0020398', 'http://purl.obolibrary.org/obo/HP_0011570', 'http://purl.obolibrary.org/obo/MONDO_0011166', 'http://purl.obolibrary.org/obo/HP_0011994']"
Q212,Atrioventricular septal defect,"['http://purl.obolibrary.org/obo/MONDO_0015273', 'http://purl.obolibrary.org/obo/MONDO_0020290', 'http://purl.obolibrary.org/obo/HP_0006695', 'http://purl.obolibrary.org/obo/HP_0001631', 'http://purl.obolibrary.org/obo/HP_0011565', 'http://purl.obolibrary.org/obo/MONDO_0020437', 'http://purl.obolibrary.org/obo/MONDO_0015275', 'http://purl.obolibrary.org/obo/HP_0011577', 'http://purl.obolibrary.org/obo/HP_0010445']"
Q213,Tetralogy of Fallot,"['http://purl.obolibrary.org/obo/HP_0011679', 'http://purl.obolibrary.org/obo/MONDO_0008542', 'http://purl.obolibrary.org/obo/HP_0001636', 'http://purl.obolibrary.org/obo/MONDO_0008343', 'http://purl.obolibrary.org/obo/HP_0011659', 'http://purl.obolibrary.org/obo/MONDO_0020064', 'http://purl.obolibrary.org/obo/HP_0005134', 'http://purl.obolibrary.org/obo/HP_0001510', 'http://purl.obolibrary.org/obo/HP_0002623', 'http://purl.obolibrary.org/obo/HP_0010882', 'http://purl.obolibrary.org/obo/HP_0012516', 'http://purl.obolibrary.org/obo/MONDO_0018089', 'http://purl.obolibrary.org/obo/MONDO_0010999', 'http://purl.obolibrary.org/obo/MONDO_0800107', 'http://purl.obolibrary.org/obo/HP_0001667']"
Q214,Aortopulmonary septal defect,"['http://purl.obolibrary.org/obo/MONDO_0021902', 'http://purl.obolibrary.org/obo/HP_0011604', 'http://purl.obolibrary.org/obo/MONDO_0043576', 'http://purl.obolibrary.org/obo/MONDO_0006656']"
Q218,Other congenital malformations of cardiac septa,"['http://purl.obolibrary.org/obo/MONDO_0017152', 'http://purl.obolibrary.org/obo/MONDO_0019944', 'http://purl.obolibrary.org/obo/MONDO_0006839', 'http://purl.obolibrary.org/obo/HP_0002623', 'http://purl.obolibrary.org/obo/MONDO_0008542', 'http://purl.obolibrary.org/obo/HP_0001636', 'http://purl.obolibrary.org/obo/MONDO_0020398', 'http://purl.obolibrary.org/obo/HP_0011570', 'http://purl.obolibrary.org/obo/HP_0001667', 'http://purl.obolibrary.org/obo/HP_0001631']"
Q219,"Congenital malformation of cardiac septum, unspecified","['http://purl.obolibrary.org/obo/HP_0001671', 'http://purl.obolibrary.org/obo/MONDO_0002078', 'http://purl.obolibrary.org/obo/HP_0001671', 'http://purl.obolibrary.org/obo/HP_0004935']"
Q220,Pulmonary valve atresia,"['http://purl.obolibrary.org/obo/HP_0012516', 'http://purl.obolibrary.org/obo/HP_0002623', 'http://purl.obolibrary.org/obo/MONDO_0020064', 'http://purl.obolibrary.org/obo/HP_0005134', 'http://purl.obolibrary.org/obo/MONDO_0008542', 'http://purl.obolibrary.org/obo/HP_0001636', 'http://purl.obolibrary.org/obo/MONDO_0008343', 'http://purl.obolibrary.org/obo/HP_0011659', 'http://purl.obolibrary.org/obo/HP_0010882', 'http://purl.obolibrary.org/obo/MONDO_0011827', 'http://purl.obolibrary.org/obo/HP_0001643', 'http://purl.obolibrary.org/obo/HP_0001667', 'http://purl.obolibrary.org/obo/MONDO_0009931', 'http://purl.obolibrary.org/obo/HP_0010882']"
Q221,Congenital pulmonary valve stenosis,"['http://purl.obolibrary.org/obo/HP_0001719', 'http://purl.obolibrary.org/obo/MONDO_0008542', 'http://purl.obolibrary.org/obo/HP_0001636', 'http://purl.obolibrary.org/obo/HP_0001667', 'http://purl.obolibrary.org/obo/HP_0011651', 'http://purl.obolibrary.org/obo/HP_0002623', 'http://purl.obolibrary.org/obo/MONDO_0020386', 'http://purl.obolibrary.org/obo/MONDO_0009939', 'http://purl.obolibrary.org/obo/HP_0011679']"
Q222,Congenital pulmonary valve insufficiency,['http://purl.obolibrary.org/obo/HP_0010444']
Q223,Other congenital malformations of pulmonary valve,"['http://purl.obolibrary.org/obo/HP_0005182', 'http://purl.obolibrary.org/obo/MONDO_0010753', 'http://purl.obolibrary.org/obo/HP_0001667', 'http://purl.obolibrary.org/obo/HP_0001641']"
Q224,Congenital tricuspid stenosis,"['http://purl.obolibrary.org/obo/MONDO_0019813', 'http://purl.obolibrary.org/obo/MONDO_0011514', 'http://purl.obolibrary.org/obo/HP_0011662', 'http://purl.obolibrary.org/obo/HP_0010316', 'http://purl.obolibrary.org/obo/HP_0011662', 'http://purl.obolibrary.org/obo/MONDO_0005997', 'http://purl.obolibrary.org/obo/HP_0010446', 'http://purl.obolibrary.org/obo/HP_0011548']"
Q225,Ebstein's anomaly,"['http://purl.obolibrary.org/obo/HP_0010316', 'http://purl.obolibrary.org/obo/HP_0011553']"
Q226,Hypoplastic right heart syndrome,"['http://purl.obolibrary.org/obo/HP_0010954', 'http://purl.obolibrary.org/obo/MONDO_0020291', 'http://purl.obolibrary.org/obo/HP_0010954', 'http://purl.obolibrary.org/obo/MONDO_0010179']"
Q228,Other congenital malformations of tricuspid valve,"['http://purl.obolibrary.org/obo/HP_0030719', 'http://purl.obolibrary.org/obo/MONDO_0002870', 'http://purl.obolibrary.org/obo/HP_0005180', 'http://purl.obolibrary.org/obo/MONDO_0800108', 'http://purl.obolibrary.org/obo/MONDO_0010753']"
Q230,Congenital stenosis of aortic valve,"['http://purl.obolibrary.org/obo/MONDO_0019808', 'http://purl.obolibrary.org/obo/HP_0010883', 'http://purl.obolibrary.org/obo/MONDO_0005463', 'http://purl.obolibrary.org/obo/HP_0004380', 'http://purl.obolibrary.org/obo/MONDO_0017735']"
Q231,Congenital insufficiency of aortic valve,"['http://purl.obolibrary.org/obo/HP_0001647', 'http://purl.obolibrary.org/obo/MONDO_0019809', 'http://purl.obolibrary.org/obo/MONDO_0020427']"
Q232,Congenital mitral stenosis,"['http://purl.obolibrary.org/obo/MONDO_0015249', 'http://purl.obolibrary.org/obo/HP_0011560', 'http://purl.obolibrary.org/obo/MONDO_0020398', 'http://purl.obolibrary.org/obo/HP_0011570', 'http://purl.obolibrary.org/obo/HP_0011571']"
Q233,Congenital mitral insufficiency,['http://purl.obolibrary.org/obo/MONDO_0001298']
Q234,Hypoplastic left heart syndrome,"['http://purl.obolibrary.org/obo/MONDO_0004933', 'http://purl.obolibrary.org/obo/HP_0004383']"
Q238,Other congenital malformations of aortic and mitral valves,"['http://purl.obolibrary.org/obo/MONDO_0020404', 'http://purl.obolibrary.org/obo/HP_0011571', 'http://purl.obolibrary.org/obo/MONDO_0019819', 'http://purl.obolibrary.org/obo/HP_0011568', 'http://purl.obolibrary.org/obo/HP_0012561', 'http://purl.obolibrary.org/obo/MONDO_0015097', 'http://purl.obolibrary.org/obo/MONDO_0020399', 'http://purl.obolibrary.org/obo/MONDO_0010753', 'http://purl.obolibrary.org/obo/HP_0004764']"
Q239,"Congenital malformation of aortic and mitral valves, unspecified","['http://purl.obolibrary.org/obo/HP_0001646', 'http://purl.obolibrary.org/obo/MONDO_0042966']"
Q240,Dextrocardia,"['http://purl.obolibrary.org/obo/MONDO_0008499', 'http://purl.obolibrary.org/obo/MONDO_0015661', 'http://purl.obolibrary.org/obo/HP_0001651', 'http://purl.obolibrary.org/obo/MONDO_0008741']"
Q241,Levocardia,"['http://purl.obolibrary.org/obo/HP_0003363', 'http://purl.obolibrary.org/obo/MONDO_0019862']"
Q242,Cor triatriatum,"['http://purl.obolibrary.org/obo/MONDO_0020430', 'http://purl.obolibrary.org/obo/MONDO_0015450', 'http://purl.obolibrary.org/obo/MONDO_0020429', 'http://purl.obolibrary.org/obo/HP_0011566', 'http://purl.obolibrary.org/obo/HP_0011565']"
Q243,Pulmonary infundibular stenosis,['http://purl.obolibrary.org/obo/MONDO_0006935']
Q244,Congenital subaortic stenosis,"['http://purl.obolibrary.org/obo/HP_0011571', 'http://purl.obolibrary.org/obo/MONDO_0006987', 'http://purl.obolibrary.org/obo/HP_0001682', 'http://purl.obolibrary.org/obo/MONDO_0020404']"
Q245,Malformation of coronary vessels,"['http://purl.obolibrary.org/obo/MONDO_0006715', 'http://purl.obolibrary.org/obo/HP_0005145', 'http://purl.obolibrary.org/obo/HP_0001717', 'http://purl.obolibrary.org/obo/MONDO_0001389', 'http://purl.obolibrary.org/obo/HP_0006704', 'http://purl.obolibrary.org/obo/HP_0011638', 'http://purl.obolibrary.org/obo/HP_0011686', 'http://purl.obolibrary.org/obo/HP_0011641', 'http://purl.obolibrary.org/obo/MONDO_0020435', 'http://purl.obolibrary.org/obo/HP_0004934', 'http://purl.obolibrary.org/obo/HP_0011642', 'http://purl.obolibrary.org/obo/MONDO_0019825', 'http://purl.obolibrary.org/obo/HP_0011639', 'http://purl.obolibrary.org/obo/MONDO_0006714', 'http://purl.obolibrary.org/obo/HP_0100545', 'http://purl.obolibrary.org/obo/HP_0011644']"
Q246,Congenital heart block,"['http://purl.obolibrary.org/obo/MONDO_0009326', 'http://purl.obolibrary.org/obo/MONDO_0000468', 'http://purl.obolibrary.org/obo/HP_0001709']"
