icd10_id,icd10_lbl,mondo/hbo urls,mondo/hpo labels
Q749,Unspecified congenital malformation of limb(s),"['http://purl.obolibrary.org/obo/MONDO_0015375', 'http://purl.obolibrary.org/obo/MONDO_0014413', 'http://purl.obolibrary.org/obo/MONDO_0010710', 'http://purl.obolibrary.org/obo/MONDO_0009963', 'http://purl.obolibrary.org/obo/MONDO_0015367', 'http://purl.obolibrary.org/obo/MONDO_0008006', 'http://purl.obolibrary.org/obo/MONDO_0013368', 'http://purl.obolibrary.org/obo/HP_0000110', 'http://purl.obolibrary.org/obo/MONDO_0009740', 'http://purl.obolibrary.org/obo/MONDO_0017415', 'http://purl.obolibrary.org/obo/MONDO_0008707', 'http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/MONDO_0008267', 'http://purl.obolibrary.org/obo/MONDO_0002249', 'http://purl.obolibrary.org/obo/HP_0001894', 'http://purl.obolibrary.org/obo/MONDO_0008115', 'http://purl.obolibrary.org/obo/MONDO_0009253', 'http://purl.obolibrary.org/obo/MONDO_0011936', 'http://purl.obolibrary.org/obo/MONDO_0008490', 'http://purl.obolibrary.org/obo/HP_0000201', 'http://purl.obolibrary.org/obo/MONDO_0007395', 'http://purl.obolibrary.org/obo/HP_0009816', 'http://purl.obolibrary.org/obo/HP_0000776', 'http://purl.obolibrary.org/obo/MONDO_0008139', 'http://purl.obolibrary.org/obo/MONDO_0019027', 'http://purl.obolibrary.org/obo/MONDO_0002629', 'http://purl.obolibrary.org/obo/HP_0002669', 'http://purl.obolibrary.org/obo/MONDO_0000156', 'http://purl.obolibrary.org/obo/HP_0000243', 'http://purl.obolibrary.org/obo/HP_0001519', 'http://purl.obolibrary.org/obo/HP_0008070', 'http://purl.obolibrary.org/obo/MONDO_0010663', 'http://purl.obolibrary.org/obo/MONDO_0015414', 'http://purl.obolibrary.org/obo/HP_0011803', 'http://purl.obolibrary.org/obo/MONDO_0013035', 'http://purl.obolibrary.org/obo/MONDO_0008991', 'http://purl.obolibrary.org/obo/MONDO_0007045', 'http://purl.obolibrary.org/obo/MONDO_0010993', 'http://purl.obolibrary.org/obo/HP_0001894', 'http://purl.obolibrary.org/obo/MONDO_0008460', 'http://purl.obolibrary.org/obo/HP_0000347', 'http://purl.obolibrary.org/obo/MONDO_0008137', 'http://purl.obolibrary.org/obo/HP_0002304', 'http://purl.obolibrary.org/obo/MONDO_0009795']","['orofaciodigital syndrome', 'orofaciodigital syndrome type 14', 'Pierre Robin syndrome-faciodigital anomaly syndrome', 'Ulbright-Hodes syndrome', 'Charlie M syndrome', 'Mobius syndrome', 'mammary-digital-nail syndrome', 'Renal dysplasia', 'neurofaciodigitorenal syndrome', 'multiple pterygium syndrome', 'acro-renal-mandibular syndrome', 'obsolete hypertelorism', 'Hypertelorism', 'orofaciodigital syndrome V', 'thrombocytosis disease', 'Thrombocytosis', 'Feingold syndrome type 1', 'Fryns syndrome', 'microphthalmia with brain and digit anomalies', 'otospondylomegaepiphyseal dysplasia, autosomal dominant', 'Pierre-Robin sequence', 'craniofacial-deafness-hand syndrome', 'Lower limb undergrowth', 'Congenital diaphragmatic hernia', 'OSLAM syndrome', 'otopalatodigital syndrome', 'bone osteosarcoma', 'Osteosarcoma', 'trigonocephaly', 'Trigonocephaly', 'Disproportionate tall stature', 'Sparse hair', 'intellectual disability-hypotonic facies syndrome, X-linked, 1', 'paramedian nasal cleft', 'Bifid nose', 'orofaciodigital syndrome XI', 'Verloove Vanhorick-Brubakk syndrome', 'acrofacial dysostosis, Catania type', 'Harrod syndrome', 'Thrombocytosis', 'splenogonadal fusion-limb defects-micrognathia syndrome', 'Micrognathia', 'orofaciodigital syndrome X', 'Akinesia', 'orofaciodigital syndrome IX']"
Q750,Craniosynostosis,"['http://purl.obolibrary.org/obo/MONDO_0011059', 'http://purl.obolibrary.org/obo/MONDO_0007861', 'http://purl.obolibrary.org/obo/HP_0000248', 'http://purl.obolibrary.org/obo/MONDO_0017984', 'http://purl.obolibrary.org/obo/MONDO_0011274', 'http://purl.obolibrary.org/obo/MONDO_0018971', 'http://purl.obolibrary.org/obo/HP_0000262', 'http://purl.obolibrary.org/obo/HP_0002514', 'http://purl.obolibrary.org/obo/HP_0004487', 'http://purl.obolibrary.org/obo/MONDO_0015800', 'http://purl.obolibrary.org/obo/MONDO_0007399', 'http://purl.obolibrary.org/obo/HP_0005458', 'http://purl.obolibrary.org/obo/HP_0011326', 'http://purl.obolibrary.org/obo/MONDO_0018064', 'http://purl.obolibrary.org/obo/MONDO_0009072', 'http://purl.obolibrary.org/obo/HP_0001305', 'http://purl.obolibrary.org/obo/MONDO_0000156', 'http://purl.obolibrary.org/obo/HP_0000243', 'http://purl.obolibrary.org/obo/MONDO_0011215', 'http://purl.obolibrary.org/obo/MONDO_0007043', 'http://purl.obolibrary.org/obo/HP_0000268', 'http://purl.obolibrary.org/obo/HP_0004442', 'http://purl.obolibrary.org/obo/MONDO_0007401', 'http://purl.obolibrary.org/obo/MONDO_0023243', 'http://purl.obolibrary.org/obo/MONDO_0011253', 'http://purl.obolibrary.org/obo/HP_0030799', 'http://purl.obolibrary.org/obo/MONDO_0011287', 'http://purl.obolibrary.org/obo/MONDO_0008893', 'http://purl.obolibrary.org/obo/MONDO_0019796', 'http://purl.obolibrary.org/obo/MONDO_0010749', 'http://purl.obolibrary.org/obo/MONDO_0012035', 'http://purl.obolibrary.org/obo/MONDO_0016643', 'http://purl.obolibrary.org/obo/HP_0011330', 'http://purl.obolibrary.org/obo/MONDO_0010728', 'http://purl.obolibrary.org/obo/MONDO_0009038', 'http://purl.obolibrary.org/obo/MONDO_0008426', 'http://purl.obolibrary.org/obo/MONDO_0009039', 'http://purl.obolibrary.org/obo/HP_0004443', 'http://purl.obolibrary.org/obo/MONDO_0002933', 'http://purl.obolibrary.org/obo/HP_0011001', 'http://purl.obolibrary.org/obo/MONDO_0011261', 'http://purl.obolibrary.org/obo/HP_0000062', 'http://purl.obolibrary.org/obo/MONDO_0012508', 'http://purl.obolibrary.org/obo/MONDO_0015467', 'http://purl.obolibrary.org/obo/HP_0011304', 'http://purl.obolibrary.org/obo/MONDO_0015414', 'http://purl.obolibrary.org/obo/HP_0011803', 'http://purl.obolibrary.org/obo/MONDO_0011065', 'http://purl.obolibrary.org/obo/MONDO_0007042', 'http://purl.obolibrary.org/obo/MONDO_0011481', 'http://purl.obolibrary.org/obo/HP_0005458']","['holoprosencephaly-craniosynostosis syndrome', 'isolated cloverleaf skull syndrome', 'Brachycephaly', 'obsolete familial lambdoid synostosis', 'Muenke syndrome', 'isolated oxycephaly', 'Turricephaly', 'Cerebral calcification', 'Acrobrachycephaly', 'osteosclerosis-developmental delay-craniosynostosis syndrome', 'TWIST1-related craniosynostosis', 'Premature closure of fontanelles', 'Anterior plagiocephaly', 'trigonocephaly-broad thumbs syndrome', 'Dandy-Walker syndrome', 'Dandy-Walker malformation', 'trigonocephaly', 'Trigonocephaly', 'osteocraniostenosis', 'Pfeiffer syndrome', 'Dolichocephaly', 'Sagittal craniosynostosis', 'craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome', 'glass-chapman-hockley syndrome', 'craniomicromelic syndrome', 'Scaphocephaly', 'craniosynostosis-anal anomalies-porokeratosis syndrome', 'C syndrome', 'acrocephalosyndactyly', 'trigonocephaly-short stature-developmental delay syndrome', 'craniosynostosis-intracranial calcifications syndrome', 'frontonasal dysplasia', 'Metopic synostosis', 'SCARF syndrome', 'craniosynostosis-fibular aplasia syndrome', 'Shprintzen-Goldberg syndrome', 'Baller-Gerold syndrome', 'Lambdoidal craniosynostosis', 'osteosclerosis', 'Increased bone mineral density', 'spondyloepiphyseal dysplasia with coronal craniosynostosis, cataracts, cleft palate, and intellectual disability', 'Ambiguous genitalia', 'agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome', 'craniosynostosis, Philadelphia type', 'Broad thumb', 'paramedian nasal cleft', 'Bifid nose', 'Hunter-McAlpine craniosynostosis', 'Saethre-Chotzen syndrome', 'craniosynostosis 2', 'Premature closure of fontanelles']"
Q751,Craniofacial dysostosis,"['http://purl.obolibrary.org/obo/MONDO_0007405', 'http://purl.obolibrary.org/obo/HP_0004439', 'http://purl.obolibrary.org/obo/MONDO_0008715', 'http://purl.obolibrary.org/obo/MONDO_0011154', 'http://purl.obolibrary.org/obo/MONDO_0012833', 'http://purl.obolibrary.org/obo/MONDO_0018980', 'http://purl.obolibrary.org/obo/MONDO_0007045', 'http://purl.obolibrary.org/obo/MONDO_0008712', 'http://purl.obolibrary.org/obo/MONDO_0007035', 'http://purl.obolibrary.org/obo/HP_0000956', 'http://purl.obolibrary.org/obo/MONDO_0009402', 'http://purl.obolibrary.org/obo/MONDO_0008714', 'http://purl.obolibrary.org/obo/MONDO_0009425', 'http://purl.obolibrary.org/obo/MONDO_0015824', 'http://purl.obolibrary.org/obo/MONDO_0011274']","['Crouzon syndrome', 'Craniofacial dysostosis', 'acrofrontofacionasal dysostosis', 'acrofacial dysostosis, Palagonia type', 'Crouzon syndrome-acanthosis nigricans syndrome', 'acrofacial dysostosis, Kennedy-Teebi type', 'acrofacial dysostosis, Catania type', 'acrocraniofacial dysostosis', 'acanthosis nigricans', 'Acanthosis nigricans', 'acrofrontofacionasal dysostosis 2', 'acrofacial dysostosis Rodriguez type', 'hypomandibular faciocranial dysostosis', 'oculomaxillofacial dysostosis', 'Muenke syndrome']"
Q752,Hypertelorism,"['http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/MONDO_0009404', 'http://purl.obolibrary.org/obo/MONDO_0015367', 'http://purl.obolibrary.org/obo/MONDO_0017579', 'http://purl.obolibrary.org/obo/MONDO_0010920', 'http://purl.obolibrary.org/obo/HP_0008551', 'http://purl.obolibrary.org/obo/MONDO_0008006', 'http://purl.obolibrary.org/obo/MONDO_0016643', 'http://purl.obolibrary.org/obo/MONDO_0015480', 'http://purl.obolibrary.org/obo/MONDO_0008652', 'http://purl.obolibrary.org/obo/HP_0001838', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/HP_0000506', 'http://purl.obolibrary.org/obo/HP_0001761', 'http://purl.obolibrary.org/obo/MONDO_0800025', 'http://purl.obolibrary.org/obo/HP_0004467', 'http://purl.obolibrary.org/obo/MONDO_0020357', 'http://purl.obolibrary.org/obo/HP_0000625', 'http://purl.obolibrary.org/obo/MONDO_0044001', 'http://purl.obolibrary.org/obo/HP_0000410', 'http://purl.obolibrary.org/obo/MONDO_0009104']","['obsolete hypertelorism', 'Hypertelorism', 'hypertelorism, microtia, facial clefting syndrome', 'Charlie M syndrome', 'Baraitser-Winter cerebrofrontofacial syndrome', 'microtia', 'Microtia', 'Mobius syndrome', 'frontonasal dysplasia', 'coloboma of superior eyelid', 'congenital vertical talus', 'Rocker bottom foot', 'Hypertelorism', 'Telecanthus', 'Pes cavus', 'Teebi hypertelorism syndrome 1', 'Preauricular pit', 'coloboma of eyelid', 'Eyelid coloboma', 'hearing loss, mixed conductive-sensorineural', 'Mixed hearing impairment', 'Donnai-Barrow syndrome']"
Q753,Macrocephaly,"['http://purl.obolibrary.org/obo/MONDO_0016608', 'http://purl.obolibrary.org/obo/MONDO_0016571', 'http://purl.obolibrary.org/obo/MONDO_0009072', 'http://purl.obolibrary.org/obo/HP_0001305', 'http://purl.obolibrary.org/obo/MONDO_0010323', 'http://purl.obolibrary.org/obo/MONDO_0017356', 'http://purl.obolibrary.org/obo/MONDO_0008008', 'http://purl.obolibrary.org/obo/HP_0001355', 'http://purl.obolibrary.org/obo/MONDO_0010858', 'http://purl.obolibrary.org/obo/MONDO_0013115', 'http://purl.obolibrary.org/obo/MONDO_0020492', 'http://purl.obolibrary.org/obo/HP_0007206', 'http://purl.obolibrary.org/obo/HP_0004482', 'http://purl.obolibrary.org/obo/MONDO_0019419', 'http://purl.obolibrary.org/obo/MONDO_0008213', 'http://purl.obolibrary.org/obo/HP_0000767', 'http://purl.obolibrary.org/obo/MONDO_0010883', 'http://purl.obolibrary.org/obo/MONDO_0024543', 'http://purl.obolibrary.org/obo/MONDO_0017199', 'http://purl.obolibrary.org/obo/HP_0011003', 'http://purl.obolibrary.org/obo/MONDO_0017623', 'http://purl.obolibrary.org/obo/MONDO_0009052', 'http://purl.obolibrary.org/obo/MONDO_0013357']","['megalencephaly', 'macrocephaly-short stature-paraplegia syndrome', 'Dandy-Walker syndrome', 'Dandy-Walker malformation', 'Atkin-Flaitz syndrome', 'inborn disorder of ornithine metabolism', 'MOMO syndrome', 'Megalencephaly', 'macrocephaly-spastic paraplegia-dysmorphism syndrome', 'RIN2 syndrome', 'hemimegalencephaly', 'Hemimegalencephaly', 'Relative macrocephaly', 'X-linked intellectual disability-macrocephaly-macroorchidism syndrome', 'pectus excavatum', 'Pectus excavatum', 'pectus excavatum-macrocephaly-dysplastic nails syndrome', 'brittle cornea syndrome 1', 'osteoporosis-macrocephaly-blindness-joint hyperlaxity syndrome', 'High myopia', 'PTEN hamartoma tumor syndrome', 'cutis laxa, autosomal recessive, type 1A', 'chromosome 17q11.2 deletion syndrome, 1.4Mb']"
Q754,Mandibulofacial dysostosis,"['http://purl.obolibrary.org/obo/HP_0005321', 'http://purl.obolibrary.org/obo/MONDO_0009903', 'http://purl.obolibrary.org/obo/MONDO_0010539', 'http://purl.obolibrary.org/obo/MONDO_0012516', 'http://purl.obolibrary.org/obo/MONDO_0008465', 'http://purl.obolibrary.org/obo/MONDO_0015397', 'http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/MONDO_0008673', 'http://purl.obolibrary.org/obo/MONDO_0009425', 'http://purl.obolibrary.org/obo/MONDO_0002457', 'http://purl.obolibrary.org/obo/MONDO_0019797']","['Mandibulofacial dysostosis', 'postaxial acrofacial dysostosis', 'X-linked mandibulofacial dysostosis', 'mandibulofacial dysostosis-microcephaly syndrome', 'Patterson-Stevenson-Fontaine syndrome', 'craniofacial microsomia', 'obsolete hypertelorism', 'Hypertelorism', 'acrofacial dysostosis, Weyers type', 'hypomandibular faciocranial dysostosis', 'Treacher-Collins syndrome', 'acrodysostosis']"
Q758,Other specified congenital malformations of skull and face bones,"['http://purl.obolibrary.org/obo/MONDO_0007861', 'http://purl.obolibrary.org/obo/HP_0000324', 'http://purl.obolibrary.org/obo/MONDO_0009557', 'http://purl.obolibrary.org/obo/MONDO_0008709', 'http://purl.obolibrary.org/obo/MONDO_0007971', 'http://purl.obolibrary.org/obo/MONDO_0011911', 'http://purl.obolibrary.org/obo/HP_0430012', 'http://purl.obolibrary.org/obo/HP_0011815', 'http://purl.obolibrary.org/obo/MONDO_0015237', 'http://purl.obolibrary.org/obo/HP_0009927', 'http://purl.obolibrary.org/obo/MONDO_0019795', 'http://purl.obolibrary.org/obo/HP_0030716', 'http://purl.obolibrary.org/obo/MONDO_0011788', 'http://purl.obolibrary.org/obo/HP_0002697', 'http://purl.obolibrary.org/obo/HP_0009939', 'http://purl.obolibrary.org/obo/HP_0005758', 'http://purl.obolibrary.org/obo/MONDO_0016643', 'http://purl.obolibrary.org/obo/MONDO_0009032', 'http://purl.obolibrary.org/obo/MONDO_0009247', 'http://purl.obolibrary.org/obo/MONDO_0007712', 'http://purl.obolibrary.org/obo/MONDO_0009998', 'http://purl.obolibrary.org/obo/MONDO_0012992', 'http://purl.obolibrary.org/obo/MONDO_0010993', 'http://purl.obolibrary.org/obo/MONDO_0015397', 'http://purl.obolibrary.org/obo/MONDO_0009068', 'http://purl.obolibrary.org/obo/HP_0001738', 'http://purl.obolibrary.org/obo/MONDO_0013357', 'http://purl.obolibrary.org/obo/MONDO_0007943', 'http://purl.obolibrary.org/obo/HP_0002677', 'http://purl.obolibrary.org/obo/MONDO_0008287', 'http://purl.obolibrary.org/obo/MONDO_0019078', 'http://purl.obolibrary.org/obo/HP_0000601', 'http://purl.obolibrary.org/obo/MONDO_0001684', 'http://purl.obolibrary.org/obo/HP_0001738', 'http://purl.obolibrary.org/obo/MONDO_0007470', 'http://purl.obolibrary.org/obo/MONDO_0012155', 'http://purl.obolibrary.org/obo/HP_0000453', 'http://purl.obolibrary.org/obo/MONDO_0000107', 'http://purl.obolibrary.org/obo/HP_0010941', 'http://purl.obolibrary.org/obo/MONDO_0015466', 'http://purl.obolibrary.org/obo/HP_0004331', 'http://purl.obolibrary.org/obo/HP_0002007', 'http://purl.obolibrary.org/obo/HP_0010752', 'http://purl.obolibrary.org/obo/HP_0002678', 'http://purl.obolibrary.org/obo/HP_0001999', 'http://purl.obolibrary.org/obo/MONDO_0007481', 'http://purl.obolibrary.org/obo/HP_0011332', 'http://purl.obolibrary.org/obo/MONDO_0011274', 'http://purl.obolibrary.org/obo/HP_0030769', 'http://purl.obolibrary.org/obo/HP_0030779', 'http://purl.obolibrary.org/obo/MONDO_0019403', 'http://purl.obolibrary.org/obo/HP_0004810', 'http://purl.obolibrary.org/obo/MONDO_0002933', 'http://purl.obolibrary.org/obo/HP_0011001', 'http://purl.obolibrary.org/obo/MONDO_0018953', 'http://purl.obolibrary.org/obo/HP_0004423', 'http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/MONDO_0008490', 'http://purl.obolibrary.org/obo/HP_0000201', 'http://purl.obolibrary.org/obo/HP_0000894', 'http://purl.obolibrary.org/obo/MONDO_0015800', 'http://purl.obolibrary.org/obo/MONDO_0011481', 'http://purl.obolibrary.org/obo/MONDO_0008340', 'http://purl.obolibrary.org/obo/HP_0007970', 'http://purl.obolibrary.org/obo/HP_0000270', 'http://purl.obolibrary.org/obo/MONDO_0007953', 'http://purl.obolibrary.org/obo/MONDO_0007259', 'http://purl.obolibrary.org/obo/HP_0005458', 'http://purl.obolibrary.org/obo/MONDO_0015411', 'http://purl.obolibrary.org/obo/HP_0002006', 'http://purl.obolibrary.org/obo/MONDO_0008499', 'http://purl.obolibrary.org/obo/HP_0009924']","['isolated cloverleaf skull syndrome', 'Facial asymmetry', 'mandibuloacral dysplasia with type A lipodystrophy', 'acrocephalopolydactyly', 'delayed membranous cranial ossification', 'craniolenticulosutural dysplasia', 'Incomplete ossification of palatine bone', 'Cephalocele', 'arrhinia', 'Aplasia of the nose', 'acalvaria', 'Acrania', 'cloverleaf skull-multiple congenital anomalies syndrome', 'Parietal foramina', 'Mandibular aplasia', 'Basilar impression', 'frontonasal dysplasia', 'cranioectodermal dysplasia', 'frontofacionasal dysplasia', 'oculoauriculovertebral spectrum with radial defects', 'Richieri Costa-Pereira syndrome', 'pancreatic insufficiency-anemia-hyperostosis syndrome', 'Harrod syndrome', 'craniofacial microsomia', 'cytochrome-c oxidase deficiency disease', 'Exocrine pancreatic insufficiency', 'chromosome 17q11.2 deletion syndrome, 1.4Mb', 'Nager acrofacial dysostosis', 'Small foramen magnum', 'Greig cephalopolysyndactyly syndrome', 'Ritscher-Schinzel syndrome', 'Hypotelorism', 'exocrine pancreatic insufficiency', 'Exocrine pancreatic insufficiency', 'calvarial doughnut lesions-bone fragility syndrome', 'choanal atresia', 'Choanal atresia', 'auriculocondylar syndrome', 'Aplasia of the nasal bone', 'cranio-osteoarthropathy', 'Decreased skull ossification', 'Frontal bossing', 'Cleft mandible', 'Skull asymmetry', 'Abnormal facial shape', 'Leri-Weill dyschondrosteosis', 'Hemifacial hypoplasia', 'Muenke syndrome', 'Exencephaly', 'Ethmocephaly', 'congenital dyserythropoietic anemia', 'Congenital hypoplastic anemia', 'osteosclerosis', 'Increased bone mineral density', 'parietal foramina', 'Cranium bifidum occultum', 'obsolete hypertelorism', 'Hypertelorism', 'otospondylomegaepiphyseal dysplasia, autosomal dominant', 'Pierre-Robin sequence', 'Short clavicles', 'osteosclerosis-developmental delay-craniosynostosis syndrome', 'craniosynostosis 2', 'ptosis, hereditary congenital, 1', 'Congenital ptosis', 'Delayed cranial suture closure', 'Binder syndrome', 'craniofaciofrontodigital syndrome', 'Premature closure of fontanelles', 'facial cleft', 'Tessier cleft', 'short stature-wormian bones-dextrocardia syndrome', 'Aplasia/Hypoplasia involving the nose']"
Q759,"Congenital malformation of skull and face bones, unspecified","['http://purl.obolibrary.org/obo/MONDO_0009039', 'http://purl.obolibrary.org/obo/MONDO_0007428', 'http://purl.obolibrary.org/obo/MONDO_0007395', 'http://purl.obolibrary.org/obo/HP_0002089', 'http://purl.obolibrary.org/obo/HP_0001999', 'http://purl.obolibrary.org/obo/MONDO_0009036', 'http://purl.obolibrary.org/obo/MONDO_0007043', 'http://purl.obolibrary.org/obo/MONDO_0009344', 'http://purl.obolibrary.org/obo/HP_0001999', 'http://purl.obolibrary.org/obo/MONDO_0011007', 'http://purl.obolibrary.org/obo/MONDO_0008335', 'http://purl.obolibrary.org/obo/MONDO_0022697', 'http://purl.obolibrary.org/obo/HP_0011445', 'http://purl.obolibrary.org/obo/HP_0002305', 'http://purl.obolibrary.org/obo/HP_0000248', 'http://purl.obolibrary.org/obo/HP_0011332', 'http://purl.obolibrary.org/obo/MONDO_0022697', 'http://purl.obolibrary.org/obo/HP_0011445', 'http://purl.obolibrary.org/obo/HP_0000776']","['Baller-Gerold syndrome', 'deafness-craniofacial syndrome', 'craniofacial-deafness-hand syndrome', 'Pulmonary hypoplasia', 'Abnormal facial shape', 'cardiocranial syndrome, Pfeiffer type', 'Pfeiffer syndrome', 'Hirschsprung disease-nail hypoplasia-dysmorphism syndrome', 'Abnormal facial shape', 'diaphragmatic defect-limb deficiency-skull defect syndrome', 'short stature-craniofacial anomalies-genital hypoplasia syndrome', 'athetoid cerebral palsy', 'Athetoid cerebral palsy', 'Athetosis', 'Brachycephaly', 'Hemifacial hypoplasia', 'athetoid cerebral palsy', 'Athetoid cerebral palsy', 'Congenital diaphragmatic hernia']"
Q760,Spina bifida occulta,"['http://purl.obolibrary.org/obo/MONDO_0000859', 'http://purl.obolibrary.org/obo/HP_0003298']","['spina bifida occulta', 'Spina bifida occulta']"
Q761,Klippel-Feil syndrome,"['http://purl.obolibrary.org/obo/MONDO_0001029', 'http://purl.obolibrary.org/obo/HP_0004602', 'http://purl.obolibrary.org/obo/HP_0004602']","['Klippel-Feil syndrome', 'Cervical C2/C3 vertebral fusion', 'Cervical C2/C3 vertebral fusion']"
Q762,Congenital spondylolisthesis,"['http://purl.obolibrary.org/obo/MONDO_0005541', 'http://purl.obolibrary.org/obo/HP_0003304']","['spondylolysis', 'Spondylolysis']"
Q763,Congenital scoliosis due to congenital bony malformation,"['http://purl.obolibrary.org/obo/MONDO_0015262', 'http://purl.obolibrary.org/obo/MONDO_0011018']","['brachyolmia', 'brachyolmia-amelogenesis imperfecta syndrome']"
Q764,"Other congenital malformations of spine, not associated with scoliosis","['http://purl.obolibrary.org/obo/HP_0010305', 'http://purl.obolibrary.org/obo/MONDO_0015826', 'http://purl.obolibrary.org/obo/MONDO_0009621', 'http://purl.obolibrary.org/obo/HP_0004602', 'http://purl.obolibrary.org/obo/HP_0003422', 'http://purl.obolibrary.org/obo/MONDO_0003280', 'http://purl.obolibrary.org/obo/HP_0003307', 'http://purl.obolibrary.org/obo/MONDO_0006995', 'http://purl.obolibrary.org/obo/MONDO_0010094', 'http://purl.obolibrary.org/obo/HP_0002946', 'http://purl.obolibrary.org/obo/HP_0003468', 'http://purl.obolibrary.org/obo/HP_0002937', 'http://purl.obolibrary.org/obo/HP_0008417', 'http://purl.obolibrary.org/obo/HP_0008439', 'http://purl.obolibrary.org/obo/MONDO_0013360', 'http://purl.obolibrary.org/obo/MONDO_0016622', 'http://purl.obolibrary.org/obo/MONDO_0015233', 'http://purl.obolibrary.org/obo/MONDO_0016087', 'http://purl.obolibrary.org/obo/HP_0008465', 'http://purl.obolibrary.org/obo/HP_0003468', 'http://purl.obolibrary.org/obo/HP_0008459', 'http://purl.obolibrary.org/obo/HP_0008467', 'http://purl.obolibrary.org/obo/MONDO_0007232']","['Absence of the sacrum', 'autosomal dominant spondylocostal dysostosis', 'microcephaly-cervical spine fusion anomalies syndrome', 'Cervical C2/C3 vertebral fusion', 'Vertebral segmentation defect', 'swayback', 'Hyperlordosis', 'tethered spinal cord syndrome', 'spondylocarpotarsal synostosis syndrome', 'Supernumerary vertebrae', 'Abnormal vertebral morphology', 'Hemivertebrae', 'Vertebral hypoplasia', 'Lumbar hemivertebrae', 'brachyolmia, Maroteaux type', 'Melhem-Fahl syndrome', 'caudal appendage-deafness syndrome', 'progressive non-infectious anterior vertebral fusion', 'Absent vertebra', 'Abnormal vertebral morphology', 'Cervical vertebral agenesis', 'Thoracic hemivertebrae', 'autosomal dominant brachyolmia']"
Q76412,"Congenital kyphosis, cervical region",['http://purl.obolibrary.org/obo/HP_0002947'],['Cervical kyphosis']
Q76413,"Congenital kyphosis, cervicothoracic region",['http://purl.obolibrary.org/obo/HP_0002947'],['Cervical kyphosis']
Q76429,"Congenital lordosis, unspecified region","['http://purl.obolibrary.org/obo/MONDO_0003280', 'http://purl.obolibrary.org/obo/HP_0003307']","['swayback', 'Hyperlordosis']"
